tld,region_bucket,unique_fqdn_count,domain_occurrences
.band,Other/unknown,47,127
.science,Other/unknown,47,130
.lc,Other/unknown,46,253
.london,Other/unknown,45,168
.onion,Other/unknown,45,52
.ug,Other/unknown,45,130
.clinic,Other/unknown,44,106
.press,Other/unknown,44,114
.swiss,Other/unknown,44,160
.watch,Other/unknown,44,219
.estate,Other/unknown,43,115
.gmbh,Other/unknown,43,103
.mz,Other/unknown,43,119
.ventures,Other/unknown,43,115
.ax,Other/unknown,42,214
.domains,Other/unknown,42,187
.foundation,Other/unknown,42,155
.gold,Other/unknown,42,137
.golf,Other/unknown,42,138
.guide,Other/unknown,42,107
.schule,Other/unknown,42,99
.training,Other/unknown,42,118
.eg,Other/unknown,41,128
.rw,Other/unknown,41,127
.surf,Other/unknown,41,119
.yt,Other/unknown,41,125
.dz,Other/unknown,40,145
.et,Other/unknown,40,109
.mu,Other/unknown,40,134
.engineering,Other/unknown,39,96
.gal,Other/unknown,39,54
.new,Other/unknown,39,68
.wien,Other/unknown,39,65
.moscow,Other/unknown,38,98
.pf,Other/unknown,38,60
.rip,Other/unknown,37,120
.style,Other/unknown,37,88
.wine,Other/unknown,37,104
.bike,Other/unknown,36,73
.horse,Other/unknown,36,94
.observer,Other/unknown,36,82
.tax,Other/unknown,36,123
.tt,Other/unknown,36,83
.bzh,Other/unknown,35,89
.day,Other/unknown,35,143
.solar,Other/unknown,35,125
.sx,Other/unknown,35,103
.vet,Other/unknown,34,117
.dating,Other/unknown,33,60
.photo,Other/unknown,33,86
.productions,Other/unknown,33,113
.ps,Other/unknown,33,96
.haus,Other/unknown,32,110
.koeln,Other/unknown,32,102
.lifestyle,Other/unknown,32,118
.pm,Other/unknown,32,163
.ren,Other/unknown,32,52
.sv,Other/unknown,32,87
.audio,Other/unknown,31,94
.download,Other/unknown,31,138
.gs,Other/unknown,31,103
.ooo,Other/unknown,31,97
.tf,Other/unknown,31,95
.zip,Other/unknown,31,100
.af,Other/unknown,30,75
.computer,Other/unknown,30,83
.directory,Other/unknown,30,79
.kh,Other/unknown,30,76
.microsoft,Other/unknown,30,50
.partners,Other/unknown,30,96
.rentals,Other/unknown,30,96
.je,Europe ccTLD,29,115
.nexus,Other/unknown,29,84
.tips,Other/unknown,29,104
.bw,Other/unknown,28,129
.clothing,Other/unknown,28,95
.industries,Other/unknown,28,93
.mba,Other/unknown,28,92
.men,Other/unknown,28,138
.ml,Other/unknown,28,308
.museum,Other/unknown,28,39
.university,Other/unknown,28,70
.vin,Other/unknown,28,111
.xn--80adxhks,Other/unknown,28,54
.yachts,Other/unknown,27,124
.dental,Other/unknown,26,74
.fan,Other/unknown,26,69
.fo,Europe ccTLD,26,75
.reviews,Other/unknown,26,64
.yoga,Other/unknown,26,86
.bi,Other/unknown,25,80
.boutique,Other/unknown,25,77
.locker,Other/unknown,25,79
.pizza,Other/unknown,25,99
.sex,Other/unknown,25,59
.sr,Other/unknown,25,71
.tj,Other/unknown,25,94
.fans,Other/unknown,24,100
.financial,Other/unknown,24,59
.pink,Other/unknown,24,76
.frl,Other/unknown,23,58
.gh,Other/unknown,23,113
.green,Other/unknown,23,77
.hn,Other/unknown,23,84
.meme,Other/unknown,23,93
.report,Other/unknown,23,100
.sale,Other/unknown,23,71
.supply,Other/unknown,23,91
.tours,Other/unknown,23,41
.as,Other/unknown,22,47
.camp,Other/unknown,22,85
.engineer,Other/unknown,22,64
.immo,Other/unknown,22,71
.international,Other/unknown,22,76
.iq,Other/unknown,22,66
.mv,Other/unknown,22,80
.repair,Other/unknown,22,39
.tc,Other/unknown,22,39
.dance,Other/unknown,21,60
.fashion,Other/unknown,21,53
.gn,Other/unknown,21,66
.insure,Other/unknown,21,52
.music,Other/unknown,21,95
.promo,Other/unknown,21,70
.srl,Other/unknown,21,56
.amsterdam,Other/unknown,20,38
.eco,Other/unknown,20,83
.management,Other/unknown,20,61
.rent,Other/unknown,20,49
.scot,Other/unknown,20,38
.vision,Other/unknown,20,55
.bh,Other/unknown,19,56
